"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.18232,0.022013,0,-0.010316,1,0.369,0.5,0.369,1
-0.1826,0.02222,0,-0.010441,1,0.37,0.5,0.37,1
-0.18288,0.022426,0,-0.010566,1,0.371,0.5,0.371,1
-0.18316,0.022632,0,-0.010691,1,0.372,0.5,0.372,1
-0.18344,0.022839,0,-0.010816,1,0.373,0.5,0.373,1
-0.18372,0.023045,0,-0.010941,1,0.374,0.5,0.374,1
-0.18401,0.023251,0,-0.011066,1,0.375,0.5,0.375,1
-0.18429,0.023457,0,-0.011191,1,0.376,0.5,0.376,1
-0.18457,0.023664,0,-0.011316,1,0.377,0.5,0.377,1
-0.18485,0.02387,0,-0.011441,1,0.378,0.5,0.378,1
-0.18513,0.024076,0,-0.011566,1,0.379,0.5,0.379,1
